scope,group,metric,n,blocks,mean,std,median,q25,q75,positive_fraction,negative_fraction,ci_low,ci_high
family,gaussian_blur,A_Z,96,16,12.745624819957788,5.114870576573795,10.099773967689302,8.492179563419574,17.06959301473365,1.0,0.0,9.015764053125356,12.465977616554873
family,gaussian_blur,A_Z_single,96,16,9.012517740651719,3.6167596695868767,7.141618661004468,6.0048777563477955,12.070024972812687,1.0,0.0,6.375107899542852,8.814777306785665
family,gaussian_blur,A_P4,96,16,11.662700216598722,5.114201111905857,8.970323863811906,7.36244002263748,16.87481632342346,1.0,0.0,8.169715146023968,11.206639493547293
family,gaussian_blur,projector_transfer_ratio,96,16,0.9008664958426875,0.08101681799874731,0.9145993837125483,0.8620750074976015,0.952835001015411,1.0,0.0,0.8918276955094993,0.9335743700720261
family,gaussian_blur,G_norm,96,16,6.784956265560246,2.633278703497533,5.228308704429838,4.510846100296202,9.40052814692108,1.0,0.0,4.818970004188575,6.726019121313348
family,gaussian_blur,G_angle,96,16,1.3221735397640633,0.056606143746566556,1.3221747551644096,1.2901323677044048,1.3468554242441775,1.0,0.0,1.3016911113715273,1.3372446458905074
family,gaussian_blur,dominance_margin,96,16,1.2083607888939447,0.40052492470586065,1.022844128275488,0.8790400529858551,1.608461807473824,1.0,0.0,0.9854087257030543,1.24133263644534
family,gaussian_blur,student_static_norm_median,96,16,3.923345530372844,0.4194607865200652,3.874941215284286,3.6841027641770876,4.016887522934969,1.0,0.0,3.8509995188349264,3.9156562251932097
family,gaussian_blur,student_response_norm_median,96,16,0.7755468906722561,0.3847187351911849,0.8255199260803402,0.4805182328236144,0.9375925999453001,1.0,0.0,0.670668795769175,0.8694118166444973
family,gaussian_blur,teacher_response_norm_median,96,16,0.4016750989118991,0.11132010749335144,0.38435016372999453,0.2975016556066253,0.5056216561867558,1.0,0.0,0.3775235609376154,0.4063601734729685
family,gaussian_blur,cos_static_mean,96,16,0.6450973254654285,0.03488788431622849,0.6482079611548317,0.6268551785750477,0.6668068745372357,1.0,0.0,0.6373792646776844,0.6560669272262533
family,gaussian_blur,cos_response_mean,96,16,0.009217806922116448,0.015274346159955788,0.009449229334127346,0.0019792933047516163,0.01767225172657307,0.7916666666666666,0.20833333333333334,0.0054507124052543005,0.013379174144627254
family,gaussian_blur,response_grad_Z,96,16,0.0783643054036221,0.030952253719358613,0.06181753932433022,0.05232712525036909,0.10896826718228178,1.0,0.0,0.058996619010273796,0.07931756160369344
family,gaussian_blur,response_grad_P4,96,16,0.05651844106314726,0.021520258277098706,0.04344138780943535,0.036658782413065624,0.07595403299353796,1.0,0.0,0.0411740431183064,0.0561873076401639
family,gaussian_noise,A_Z,96,16,14.909633602221135,5.638814934793428,13.008693662521987,10.802223246756874,19.17699570078799,1.0,0.0,12.052665794506996,14.407045052947419
